[time, ax, ay, az, gx, gy, gz]
[00003003,0.0153,-0.021973,-0.988220,-0.411987,-5.256653,10.803223]
[00003104,-0.0330,-0.049072,-0.953064,-0.534058,-4.692078,8.255005]
[00003204,-0.0042,-0.060059,-0.999207,-1.197815,-4.966736,7.034302]
[00003305,-0.0157,-0.075928,-0.981873,0.183105,-6.164551,7.736206]
[00003406,-0.0208,-0.061035,-0.991638,4.768372,-1.403809,9.429932]
[00003507,-0.0045,-0.055176,-1.044617,-12.077332,-4.676819,6.172180]
[00003607,-0.0108,-0.051270,-0.982117,-0.160217,-5.966187,8.392334]
[00003708,-0.0032,-0.046143,-0.974060,-3.761292,6.591797,2.319336]
[00003809,-0.0015,-0.034180,-1.280945,24.040222,-22.117615,18.325806]
[00003910,-0.1019,-0.160400,-0.597595,10.734558,-39.588928,14.610291]
[00004010,-0.1209,-0.099365,-0.907410,-27.542114,23.994446,15.609741]
[00004111,-0.0023,-0.057861,-0.964783,2.967834,-4.020691,-4.776001]
[00004212,0.0126,-0.070068,-0.974548,0.221252,-5.233765,7.293701]
[00004313,-0.0526,-0.079590,-0.982117,-0.129700,-6.561279,6.767273]
[00004413,0.0231,-0.048584,-0.985291,-8.102417,5.210876,7.331848]
[00004514,-0.0162,-0.146729,-1.305603,29.449463,3.845215,2.037048]
[00004615,-0.0797,-0.257568,-0.690613,28.839111,-41.435242,10.917664]
[00004716,-0.1370,-0.251709,-0.797546,-23.719788,27.198792,10.147095]
[00004816,-0.0279,-0.067871,-1.243103,-12.718201,24.047852,7.087708]
[00004917,0.0097,-0.065430,-0.942566,0.129700,-3.684998,8.178711]
[00005018,-0.0252,-0.024658,-0.983093,2.449036,-4.463196,8.377075]
[00005119,0.0165,-0.102783,-1.005798,-1.266479,-3.997803,3.723145]
[00005219,-0.0106,-0.073975,-0.986755,-4.478455,0.442505,6.965637]
[00005320,-0.0189,-0.038330,-0.964783,0.389099,-5.493164,8.392334]
[00005421,0.0046,-0.079346,-0.986755,0.099182,-3.730774,7.583618]
[00005522,-0.0364,-0.047363,-0.985291,-0.991821,-4.463196,7.499695]
[00005622,-0.0257,-0.071045,-0.978943,7.537842,-2.883911,11.596680]
[00005723,-0.0347,-0.084717,-1.272156,19.195557,-9.887695,9.872437]
[00005824,-0.0692,-0.042480,-0.901062,51.445007,-53.161621,0.152588]
[00005925,-0.1983,-0.169922,-0.427673,-31.372070,22.651672,1.419067]
[00006026,0.0102,-0.147461,-1.089539,-47.668457,16.143799,-2.861023]
[00006126,-0.0059,-0.086670,-1.007019,-0.167847,-4.722595,7.904053]
[00006227,-0.0045,-0.049561,-0.997498,-1.274109,-5.126953,-9.178162]
[00006328,-0.0938,-0.089111,-0.977478,18.714905,-4.562378,32.241821]
[00006429,0.0070,-0.081299,-0.976990,-0.823975,-5.065918,7.560730]
[00006529,-0.0059,-0.053223,-0.987732,-0.297546,-4.066467,7.926941]
[00006630,0.0007,-0.081055,-0.986755,-0.968933,-4.661560,7.797241]
[00006731,-0.0140,-0.100586,-0.987244,-0.549316,-4.249573,8.361816]
[00006832,-0.0076,-0.083252,-0.991394,-0.007629,-4.814148,7.949829]
[00006932,-0.0164,-0.092773,-0.971130,-0.694275,-4.310608,7.194519]
[00007033,0.0009,-0.062012,-0.978699,-0.679016,-4.592896,7.598877]
[00007134,-0.0228,-0.093262,-0.967957,-0.778198,-4.913330,7.720947]
[00007234,-0.0562,-0.054199,-0.936462,0.503540,-4.570007,8.720398]
[00007335,-0.0027,-0.114258,-0.990662,0.854492,-3.532410,7.942200]
[00007436,-0.0272,-0.067627,-0.992126,-0.701904,-4.325867,7.530212]
[00007537,-0.0272,-0.067627,-0.992126,-0.701904,-4.325867,7.530212]
[00007738,-0.0018,-0.078369,-0.987732,-0.091553,-4.379272,6.629944]
[00007838,-0.0152,-0.082764,-0.984802,0.183105,-3.318787,7.125854]
